                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     34,               0.035907,               0.013076,              0.0050071,              0.0010525,                0.97342,                0.93884,                0.97468,                0.68483,                0.97696,                 0.9419,                0.97969,                0.80487,               0.026343,              0.0076501,              0.0044045,             0.00051734,                0.00901,                0.00901,                0.00901
                     35,               0.035353,               0.015838,              0.0057056,              0.0011665,                0.95894,                0.96232,                0.97795,                 0.7417,                0.88681,                0.88983,                0.86105,                0.64172,               0.020653,              0.0080368,              0.0041305,             0.00052729,                0.00898,                0.00898,                0.00898
                     36,               0.033958,               0.013151,               0.004745,             0.00094367,                0.95018,                0.94848,                 0.9718,                0.62168,                0.95366,                0.95102,                0.97744,                0.77343,               0.026953,              0.0067194,              0.0049357,             0.00052517,                0.00895,                0.00895,                0.00895
                     37,               0.035182,               0.013101,              0.0052924,             0.00086902,                0.96464,                0.95413,                0.97332,                0.77865,                0.94296,                0.93052,                0.94933,                0.57803,               0.023614,              0.0059895,              0.0044301,             0.00054389,                0.00892,                0.00892,                0.00892
                     38,               0.034258,               0.015614,              0.0049387,             0.00094807,                 0.9601,                0.94801,                0.97397,                0.70898,                0.95525,                0.94218,                0.97325,                0.57808,               0.022691,              0.0065354,              0.0042644,             0.00058935,                0.00889,                0.00889,                0.00889
                     39,               0.035264,                0.01395,              0.0048652,              0.0010614,                0.95605,                0.95413,                0.97406,                0.68191,                0.95923,                0.95719,                0.98192,                0.67164,               0.025757,              0.0071139,              0.0039172,             0.00061331,                0.00886,                0.00886,                0.00886
                     40,               0.034681,               0.013485,              0.0047197,              0.0011083,                0.77137,                0.84526,                0.88647,                0.44406,                0.77137,                0.84526,                0.90157,                0.54156,               0.031241,              0.0084903,              0.0043677,              0.0006026,                0.00883,                0.00883,                0.00883
                     41,               0.032571,               0.013207,              0.0047121,             0.00098386,                0.95857,                0.95107,                0.96954,                 0.6555,                0.85458,                0.67859,                0.77805,                0.44266,               0.022678,                0.01171,               0.004245,              0.0005904,                 0.0088,                 0.0088,                 0.0088
                     42,               0.033795,               0.013729,              0.0045003,             0.00097357,                0.87269,                0.95223,                0.97345,                0.59993,                 0.8754,                0.95486,                0.97845,                0.75501,                0.02586,              0.0080952,              0.0041919,             0.00061233,                0.00877,                0.00877,                0.00877
                     43,               0.035957,               0.015489,              0.0047916,              0.0010926,                0.95277,                0.95481,                0.97444,                0.67962,                0.89768,                0.90009,                0.87948,                0.49182,               0.022649,              0.0076598,              0.0041909,             0.00059776,                0.00874,                0.00874,                0.00874
                     44,               0.037126,                0.01451,               0.004924,             0.00091563,                0.94953,                0.94618,                0.97655,                0.69396,                0.94408,                 0.9427,                0.97538,                0.51649,               0.025357,              0.0069721,              0.0042683,             0.00063599,                0.00871,                0.00871,                0.00871
                     45,                0.03694,               0.014009,              0.0043424,              0.0009091,                0.73756,                 0.8497,                0.89385,                0.61622,                 0.7396,                0.85276,                0.89077,                0.65578,               0.024864,              0.0087468,              0.0045957,             0.00075931,                0.00868,                0.00868,                0.00868
                     46,               0.036868,               0.016794,              0.0046162,             0.00095798,                0.89021,                0.96636,                0.95548,                0.70307,                 0.8687,                0.93998,                0.92955,                0.64153,                0.02376,              0.0090345,              0.0041448,             0.00076209,                0.00865,                0.00865,                0.00865
                     47,               0.034652,               0.015678,              0.0052662,             0.00093632,                0.82929,                0.97554,                0.95298,                0.60781,                0.75057,                 0.7472,                 0.7342,                0.47062,               0.025821,              0.0091404,              0.0039488,             0.00065245,                0.00862,                0.00862,                0.00862
                     48,               0.036633,               0.015896,              0.0051444,             0.00086832,                0.85227,                0.97554,                0.96662,                0.73024,                0.82391,                0.75509,                0.81361,                0.51385,               0.021556,              0.0094833,              0.0039166,             0.00060741,                0.00859,                0.00859,                0.00859
                     49,                0.03325,               0.013635,              0.0046279,             0.00079488,                0.90775,                0.96527,                 0.9728,                0.66217,                0.77726,                0.79912,                0.76874,                0.44667,               0.024802,              0.0078788,              0.0038994,             0.00063491,                0.00856,                0.00856,                0.00856
                     50,               0.033671,               0.012993,              0.0041731,             0.00079059,                0.95705,                0.95999,                0.97308,                0.66277,                0.73944,                0.74083,                0.71297,                0.46901,               0.024904,               0.010477,              0.0039223,             0.00063961,                0.00853,                0.00853,                0.00853
                     51,               0.034752,               0.012037,              0.0042909,             0.00079091,                0.96662,                0.93578,                0.97052,                0.66927,                 0.9709,                0.93952,                0.97561,                0.72238,               0.023623,              0.0083886,              0.0042192,             0.00057582,                 0.0085,                 0.0085,                 0.0085
                     52,               0.034829,               0.014811,              0.0045832,             0.00080642,                0.96794,                0.92661,                0.97003,                0.71273,                0.81453,                0.77178,                0.80367,                0.49853,               0.023316,               0.008703,              0.0040463,             0.00052873,                0.00847,                0.00847,                0.00847
                     53,               0.034777,               0.016595,               0.005404,              0.0009995,                0.96437,                0.94786,                 0.9705,                 0.6879,                0.96768,                0.95058,                 0.9727,                0.75116,               0.022027,              0.0092382,              0.0040023,             0.00046323,                0.00844,                0.00844,                0.00844
                     54,                0.03432,               0.013002,              0.0047486,             0.00099117,                0.96283,                0.94801,                0.96724,                0.72989,                 0.9698,                0.95413,                0.97492,                0.73887,               0.021015,              0.0090347,               0.003793,             0.00047191,                0.00841,                0.00841,                0.00841
